File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A2_061__1_km_16_days_NDVI_doy2023353000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-12-19,123.0,0.645,0.9551,"(0.645,0.9551)",0.8453667,0.0584095,0.0034117,0.88795,0.9551,0.8553,0.7037,0.814
MOD13A2_061__1_km_16_days_NDVI_doy2024001000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-01-01,123.0,0.6353,0.937,"(0.6353,0.937)",0.8490309,0.0688949,0.0047465,0.9038,0.937,0.8643,0.7081,0.81555
MOD13A2_061__1_km_16_days_NDVI_doy2024017000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-01-17,123.0,0.4094,0.8941,"(0.4094,0.8941)",0.7586886,0.096922,0.0093939,0.8315,0.8941,0.7702,0.5179,0.706
MOD13A2_061__1_km_16_days_NDVI_doy2024033000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-02-02,123.0,0.3372,0.8612,"(0.3372,0.8612)",0.6188146,0.1213482,0.0147254,0.72075,0.8612,0.6142,0.3372,0.5352
MOD13A2_061__1_km_16_days_NDVI_doy2024049000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-02-18,123.0,0.2624,0.8546,"(0.2624,0.8546)",0.5343967,0.1405125,0.0197438,0.6238,0.8546,0.5179,0.2624,0.43205
